age, mortality_rate_male_1997
   0, 0.00533
   1, 0.00048
   2, 0.00031
   3, 0.00022
   4, 0.00019
   5, 0.00019
   6, 0.00018
   7, 0.00015
   8, 0.00014
   9, 0.00017
  10, 0.00014
  11, 0.00014
  12, 0.00018
  13, 0.00022
  14, 0.00033
  15, 0.00042
  16, 0.00055
  17, 0.00065
  18, 0.00090
  19, 0.00106
  20, 0.00102
  21, 0.00118
  22, 0.00113
  23, 0.00122
  24, 0.00120
  25, 0.00115
  26, 0.00121
  27, 0.00125
  28, 0.00117
  29, 0.00128
  30, 0.00136
  31, 0.00140
  32, 0.00148
  33, 0.00145
  34, 0.00161
  35, 0.00177
  36, 0.00189
  37, 0.00204
  38, 0.00220
  39, 0.00246
  40, 0.00251
  41, 0.00291
  42, 0.00319
  43, 0.00352
  44, 0.00370
  45, 0.00397
  46, 0.00436
  47, 0.00473
  48, 0.00504
  49, 0.00563
  50, 0.00591
  51, 0.00625
  52, 0.00669
  53, 0.00744
  54, 0.00777
  55, 0.00838
  56, 0.00913
  57, 0.00950
  58, 0.01081
  59, 0.01181
  60, 0.01244
  61, 0.01373
  62, 0.01511
  63, 0.01654
  64, 0.01772
  65, 0.01913
  66, 0.02048
  67, 0.02312
  68, 0.02425
  69, 0.02680
  70, 0.02926
  71, 0.03169
  72, 0.03461
  73, 0.03767
  74, 0.04016
  75, 0.04439
  76, 0.04763
  77, 0.05268
  78, 0.05940
  79, 0.06464
  80, 0.07130
  81, 0.07922
  82, 0.08601
  83, 0.09728
  84, 0.10634
  85, 0.11861
  86, 0.13003
  87, 0.14421
  88, 0.16080
  89, 0.17983
  90, 0.19090
  91, 0.21169
  92, 0.22424
  93, 0.23698
  94, 0.26152
  95, 0.30639
  96, 0.33002
  97, 0.34268
  98, 0.33870
  99, 0.38217
 100, 0.36558
 101, 0.36059
 102, 0.45364
 103, 0.46747
 104, 0.42609
 105, 0.42609
 106, 0.42609
 107, 0.42609
 108, 0.42609
 109, 0.42609
 110, 0.42609
 111, 0.42609
 112, 0.42609
 113, 0.42609
 114  0.42609
 115  0.42609
 116  0.42609
 117  0.42609
 118  0.42609
 119  0.42609
 120  1
