age,mortality_rate_female_1997
   0,  0.00415
   1,  0.00041
   2,  0.00021
   3,  0.00025
   4,  0.00016
   5,  0.00010
   6,  0.00009
   7,  0.00012
   8,  0.00012
   9,  0.00013
  10,  0.00013
  11,  0.00010
  12,  0.00016
  13,  0.00015
  14,  0.00015
  15,  0.00022
  16,  0.00024
  17,  0.00029
  18,  0.00035
  19,  0.00042
  20,  0.00034
  21,  0.00039
  22,  0.00036
  23,  0.00034
  24,  0.00039
  25,  0.00035
  26,  0.00041
  27,  0.00039
  28,  0.00041
  29,  0.00049
  30,  0.00057
  31,  0.00056
  32,  0.00063
  33,  0.00056
  34,  0.00077
  35,  0.00074
  36,  0.00083
  37,  0.00087
  38,  0.00099
  39,  0.00111
  40,  0.00116
  41,  0.00130
  42,  0.00131
  43,  0.00153
  44,  0.00163
  45,  0.00183
  46,  0.00195
  47,  0.00200
  48,  0.00220
  49,  0.00233
  50,  0.00251
  51,  0.00289
  52,  0.00296
  53,  0.00334
  54,  0.00333
  55,  0.00354
  56,  0.00377
  57,  0.00386
  58,  0.00429
  59,  0.00447
  60,  0.00493
  61,  0.00532
  62,  0.00569
  63,  0.00624
  64,  0.00679
  65,  0.00759
  66,  0.00839
  67,  0.00926
  68,  0.01011
  69,  0.01122
  70,  0.01226
  71,  0.01304
  72,  0.01496
  73,  0.01680
  74,  0.01910
  75,  0.02128
  76,  0.02444
  77,  0.02732
  78,  0.03094
  79,  0.03648
  80,  0.04015
  81,  0.04677
  82,  0.05117
  83,  0.06016
  84,  0.06856
  85,  0.07969
  86,  0.09025
  87,  0.10217
  88,  0.11626
  89,  0.13298
  90,  0.14684
  91,  0.16263
  92,  0.18071
  93,  0.19729
  94,  0.21794
  95,  0.26385
  96,  0.27634
  97,  0.28903
  98,  0.31261
  99,  0.32427
 100,  0.35200
 101,  0.38540
 102,  0.40282
 103,  0.42117
 104,  0.40907
 105,  0.40907
 106,  0.40907
 107,  0.40907
 108,  0.40907
 109,  0.40907
 110,  0.40907
 111,  0.40907
 112,  0.40907
 113,  0.40907
 114,  0.40907
 115,  0.40907
 116,  0.40907
 117,  0.40907
 118,  0.40907
 119,  0.40907
 120,  1.0
