period,age,initial_state,final_state,periodized_calibrated_probability
2010,0,0,5,0.0
2010,0,1,5,0.0
2010,0,2,5,0.0
2010,0,3,5,0.0
2010,0,4,5,0.0
2010,1,0,5,0.0
2010,1,1,5,0.0
2010,1,2,5,0.0
2010,1,3,5,0.0
2010,1,4,5,0.0
2010,2,0,5,0.0
2010,2,1,5,0.0
2010,2,2,5,0.0
2010,2,3,5,0.0
2010,2,4,5,0.0
2010,3,0,5,0.0
2010,3,1,5,0.0
2010,3,2,5,0.0
2010,3,3,5,0.0
2010,3,4,5,0.0
2010,4,0,5,0.0
2010,4,1,5,0.0
2010,4,2,5,0.0
2010,4,3,5,0.0
2010,4,4,5,0.0
2010,5,0,5,0.0
2010,5,1,5,0.0
2010,5,2,5,0.0
2010,5,3,5,0.0
2010,5,4,5,0.0
2010,6,0,5,0.0
2010,6,1,5,0.0
2010,6,2,5,0.0
2010,6,3,5,0.0
2010,6,4,5,0.0
2010,7,0,5,0.0
2010,7,1,5,0.0
2010,7,2,5,0.0
2010,7,3,5,0.0
2010,7,4,5,0.0
2010,8,0,5,0.0
2010,8,1,5,0.0
2010,8,2,5,0.0
2010,8,3,5,0.0
2010,8,4,5,0.0
2010,9,0,5,0.0
2010,9,1,5,0.0
2010,9,2,5,0.0
2010,9,3,5,0.0
2010,9,4,5,0.0
2010,10,0,5,0.0
2010,10,1,5,0.0
2010,10,2,5,0.0
2010,10,3,5,0.0
2010,10,4,5,0.0
2010,11,0,5,0.0
2010,11,1,5,0.0
2010,11,2,5,0.0
2010,11,3,5,0.0
2010,11,4,5,0.0
2010,12,0,5,0.0
2010,12,1,5,0.0
2010,12,2,5,0.0
2010,12,3,5,0.0
2010,12,4,5,0.0
2010,13,0,5,0.0
2010,13,1,5,0.0
2010,13,2,5,0.0
2010,13,3,5,0.0
2010,13,4,5,0.0
2010,14,0,5,0.0
2010,14,1,5,0.0
2010,14,2,5,0.0
2010,14,3,5,0.0
2010,14,4,5,0.0
2010,15,0,5,0.0
2010,15,1,5,0.0
2010,15,2,5,0.0
2010,15,3,5,0.0
2010,15,4,5,0.0
2010,16,0,5,0.0
2010,16,1,5,0.0
2010,16,2,5,0.0
2010,16,3,5,0.0
2010,16,4,5,0.0
2010,17,0,5,0.0
2010,17,1,5,0.0
2010,17,2,5,0.0
2010,17,3,5,0.0
2010,17,4,5,0.0
2010,18,0,5,0.0
2010,18,1,5,0.0
2010,18,2,5,0.0
2010,18,3,5,0.0
2010,18,4,5,0.0
2010,19,0,5,0.0
2010,19,1,5,0.0
2010,19,2,5,0.0
2010,19,3,5,0.0
2010,19,4,5,0.0
2010,20,0,5,0.0
2010,20,1,5,0.0
2010,20,2,5,0.0
2010,20,3,5,0.0
2010,20,4,5,0.0
2010,21,0,5,0.0
2010,21,1,5,0.0
2010,21,2,5,0.0
2010,21,3,5,0.0
2010,21,4,5,0.0
2010,22,0,5,0.0
