period,sex,age,initial_state,final_state,calibrated_probability
2010,female,0,0,0,1.0
2010,female,0,0,1,0.0
2010,female,0,0,4,0.0
2010,female,0,0,5,0.0
2010,female,0,1,0,0.0
2010,female,0,1,1,1.0
2010,female,0,1,2,0.0
2010,female,0,1,4,0.0
2010,female,0,1,5,0.0
2010,female,0,2,1,0.0
2010,female,0,2,2,1.0
2010,female,0,2,3,0.0
2010,female,0,2,4,0.0
2010,female,0,2,5,0.0
2010,female,0,3,2,0.0
2010,female,0,3,3,1.0
2010,female,0,3,4,0.0
2010,female,0,3,5,0.0
2010,female,0,4,4,1.0
2010,female,0,4,5,0.0
2010,male,0,0,0,1.0
2010,male,0,0,1,0.0
2010,male,0,0,4,0.0
2010,male,0,0,5,0.0
2010,male,0,1,0,0.0
2010,male,0,1,1,1.0
2010,male,0,1,2,0.0
2010,male,0,1,4,0.0
2010,male,0,1,5,0.0
2010,male,0,2,1,0.0
2010,male,0,2,2,1.0
2010,male,0,2,3,0.0
2010,male,0,2,4,0.0
2010,male,0,2,5,0.0
2010,male,0,3,2,0.0
2010,male,0,3,3,1.0
2010,male,0,3,4,0.0
2010,male,0,3,5,0.0
2010,male,0,4,4,1.0
2010,male,0,4,5,0.0
2010,female,1,0,0,1.0
2010,female,1,0,1,0.0
2010,female,1,0,4,0.0
2010,female,1,0,5,0.0
2010,female,1,1,0,0.0
2010,female,1,1,1,1.0
2010,female,1,1,2,0.0
2010,female,1,1,4,0.0
2010,female,1,1,5,0.0
2010,female,1,2,1,0.0
2010,female,1,2,2,1.0
2010,female,1,2,3,0.0
2010,female,1,2,4,0.0
2010,female,1,2,5,0.0
2010,female,1,3,2,0.0
2010,female,1,3,3,1.0
2010,female,1,3,4,0.0
2010,female,1,3,5,0.0
2010,female,1,4,4,1.0
2010,female,1,4,5,0.0
2010,male,1,0,0,1.0
2010,male,1,0,1,0.0
2010,male,1,0,4,0.0
2010,male,1,0,5,0.0
2010,male,1,1,0,0.0
2010,male,1,1,1,1.0
2010,male,1,1,2,0.0
2010,male,1,1,4,0.0
2010,male,1,1,5,0.0
2010,male,1,2,1,0.0
2010,male,1,2,2,1.0
2010,male,1,2,3,0.0
2010,male,1,2,4,0.0
2010,male,1,2,5,0.0
2010,male,1,3,2,0.0
2010,male,1,3,3,1.0
2010,male,1,3,4,0.0
2010,male,1,3,5,0.0
2010,male,1,4,4,1.0
2010,male,1,4,5,0.0
2010,female,2,0,0,1.0
2010,female,2,0,1,0.0
2010,female,2,0,4,0.0
2010,female,2,0,5,0.0
2010,female,2,1,0,0.0
2010,female,2,1,1,1.0
2010,female,2,1,2,0.0
2010,female,2,1,4,0.0
2010,female,2,1,5,0.0
2010,female,2,2,1,0.0
2010,female,2,2,2,1.0
2010,female,2,2,3,0.0
2010,female,2,2,4,0.0
2010,female,2,2,5,0.0
2010,female,2,3,2,0.0
2010,female,2,3,3,1.0
2010,female,2,3,4,0.0
2010,female,2,3,5,0.0
2010,female,2,4,4,1.0
2010,female,2,4,5,0.0
2010,male,2,0,0,1.0
2010,male,2,0,1,0.0
2010,male,2,0,4,0.0
2010,male,2,0,5,0.0
2010,male,2,1,0,0.0
2010,male,2,1,1,1.0
2010,male,2,1,2,0.0
2010,male,2,1,4,0.0
2010,male,2,1,5,0.0
2010,male,2,2,1,0.0
2010,male,2,2,2,1.0
2010,male,2,2,3,0.0
2010,male,2,2,4,0.0
2010,male,2,2,5,0.0
2010,male,2,3,2,0.0
2010,male,2,3,3,1.0
2010,male,2,3,4,0.0
2010,male,2,3,5,0.0
2010,male,2,4,4,1.0
2010,male,2,4,5,0.0
2010,female,3,0,0,1.0
2010,female,3,0,1,0.0
2010,female,3,0,4,0.0
2010,female,3,0,5,0.0
2010,female,3,1,0,0.0
2010,female,3,1,1,1.0
2010,female,3,1,2,0.0
2010,female,3,1,4,0.0
2010,female,3,1,5,0.0
2010,female,3,2,1,0.0
2010,female,3,2,2,1.0
2010,female,3,2,3,0.0
2010,female,3,2,4,0.0
2010,female,3,2,5,0.0
2010,female,3,3,2,0.0
2010,female,3,3,3,1.0
2010,female,3,3,4,0.0
2010,female,3,3,5,0.0
2010,female,3,4,4,1.0
2010,female,3,4,5,0.0
2010,male,3,0,0,1.0
2010,male,3,0,1,0.0
2010,male,3,0,4,0.0
2010,male,3,0,5,0.0
2010,male,3,1,0,0.0
2010,male,3,1,1,1.0
2010,male,3,1,2,0.0
2010,male,3,1,4,0.0
2010,male,3,1,5,0.0
2010,male,3,2,1,0.0
2010,male,3,2,2,1.0
2010,male,3,2,3,0.0
2010,male,3,2,4,0.0
2010,male,3,2,5,0.0
2010,male,3,3,2,0.0
2010,male,3,3,3,1.0
2010,male,3,3,4,0.0
2010,male,3,3,5,0.0
2010,male,3,4,4,1.0
2010,male,3,4,5,0.0
2010,female,4,0,0,1.0
2010,female,4,0,1,0.0
2010,female,4,0,4,0.0
2010,female,4,0,5,0.0
2010,female,4,1,0,0.0
2010,female,4,1,1,1.0
2010,female,4,1,2,0.0
2010,female,4,1,4,0.0
