SEXES REUNIS
     Table de mortalité : année 1899

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000   16973 0.16973 45.34   91513
   1   83027    2938 0.03538 53.50   81558
   2   80089    1615 0.02017 54.45   79281
   3   78473    1032 0.01315 54.56   77957
   4   77441     738 0.00953 54.28   77072
   5   76704     524 0.00683 53.79   76442
   6   76180     426 0.00559 53.16   75967
   7   75754     352 0.00464 52.46   75578
   8   75403     313 0.00415 51.70   75246
   9   75090     273 0.00363 50.91   74953
  10   74817     258 0.00345 50.10   74688
  11   74559     250 0.00336 49.27   74434
  12   74308     240 0.00323 48.43   74188
  13   74068     249 0.00337 47.59   73944
  14   73819     276 0.00373 46.75   73681
  15   73543     305 0.00415 45.92   73391
  16   73238     348 0.00475 45.11   73064
  17   72890     409 0.00561 44.32   72686
  18   72482     450 0.00620 43.57   72257
  19   72032     444 0.00616 42.84   71810
  20   71588     511 0.00714 42.10   71333
  21   71077     542 0.00763 41.40   70806
  22   70535     582 0.00825 40.71   70244
  23   69953     525 0.00750 40.05   69691
  24   69428     513 0.00739 39.35   69172
  25   68915     513 0.00744 38.64   68659
  26   68402     521 0.00761 37.92   68142
  27   67882     531 0.00782 37.21   67616
  28   67351     520 0.00771 36.50   67091
  29   66831     496 0.00743 35.78   66583
  30   66335     553 0.00834 35.04   66058
  31   65782     525 0.00799 34.33   65519
  32   65257     576 0.00883 33.60   64968
  33   64680     547 0.00845 32.90   64407
  34   64134     544 0.00849 32.18   63862
  35   63589     569 0.00895 31.45   63305
  36   63020     593 0.00941 30.73   62724
  37   62427     583 0.00934 30.01   62135
  38   61844     599 0.00969 29.29   61544
  39   61245     573 0.00935 28.57   60958
  40   60672     654 0.01077 27.84   60345
  41   60018     599 0.00998 27.14   59719
  42   59419     667 0.01123 26.41   59086
  43   58752     633 0.01077 25.70   58436
  44   58119     640 0.01101 24.97   57799
  45   57480     709 0.01234 24.25   57125
  46   56770     693 0.01220 23.54   56424
  47   56078     677 0.01207 22.83   55739
  48   55400     754 0.01361 22.10   55023
  49   54646     740 0.01355 21.40   54276
  50   53906     799 0.01483 20.69   53506
  51   53107     781 0.01470 19.99   52716
  52   52326     914 0.01747 19.28   51869
  53   51412     849 0.01652 18.61   50987
  54   50562     883 0.01746 17.92   50121
  55   49680     969 0.01950 17.23   49195
  56   48711    1015 0.02085 16.56   48203
  57   47695    1020 0.02139 15.90   47185
  58   46675    1113 0.02385 15.24   46118
  59   45562    1112 0.02441 14.60   45006
  60   44450    1312 0.02951 13.95   43794
  61   43138    1201 0.02784 13.36   42537
  62   41937    1348 0.03213 12.73   41263
  63   40589    1373 0.03383 12.14   39903
  64   39216    1435 0.03658 11.54   38499
  65   37782    1593 0.04216 10.96   36985
  66   36189    1603 0.04430 10.42   35387
  67   34586    1615 0.04671  9.88   33778
  68   32970    1721 0.05221  9.34   32110
  69   31249    1729 0.05532  8.83   30384
  70   29520    1900 0.06435  8.32   28570
  71   27621    1831 0.06631  7.85   26705
  72   25789    2082 0.08073  7.38   24748
  73   23707    1934 0.08157  6.98   22740
  74   21773    1952 0.08964  6.56   20798
  75   19822    2102 0.10602  6.15   18771
  76   17720    1938 0.10935  5.82   16751
  77   15782    1789 0.11338  5.48   14888
  78   13993    1790 0.12791  5.11   13098
  79   12203    1681 0.13778  4.79   11362
  80   10522    1744 0.16572  4.47    9650
  81    8778    1351 0.15389  4.26    8103
  82    7427    1355 0.18245  3.95    6750
  83    6072    1152 0.18973  3.72    5496
  84    4920    1056 0.21460  3.47    4392
  85    3864     860 0.22244  3.28    3434
  86    3005     735 0.24449  3.08    2637
  87    2270     620 0.27308  2.92    1960
  88    1650     455 0.27543  2.83    1423
  89    1196     316 0.26408  2.71    1038
  90     880     264 0.29966  2.50     748
  91     616     201 0.32592  2.36     516
  92     415     141 0.33917  2.26     345
  93     275     105 0.38204  2.16     222
  94     170      58 0.34448  2.18     140
  95     111      42 0.37639  2.07      90
  96      69      27 0.38782  2.01      56
  97      42      17 0.40831  1.97      34
  98      25       9 0.37471  1.98      20
  99      16       6 0.36468  1.87      13
 100      10       4 0.41174  1.65       8
 101       6       3 0.47457  1.45       4
 102       3       1 0.46499  1.31       2
 103       2       1 0.56728  1.02       1
 104       1       1 0.79998  0.70       0
 105       0                  0.50       0
 Total population stationnaire     4533566



               SEXES REUNIS
     Table de mortalité : année 1900

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000   16331 0.16331 45.19   91834
   1   83669    2804 0.03351 52.91   82267
   2   80865    1495 0.01849 53.73   80117
   3   79370     936 0.01179 53.73   78902
   4   78434     716 0.00913 53.36   78076
   5   77718     501 0.00645 52.85   77467
   6   77217     426 0.00551 52.19   77004
   7   76791     366 0.00477 51.48   76608
   8   76425     321 0.00421 50.72   76264
   9   76104     279 0.00367 49.93   75964
  10   75824     251 0.00332 49.11   75699
  11   75573     238 0.00314 48.28   75454
  12   75335     265 0.00352 47.43   75203
  13   75070     264 0.00351 46.59   74938
  14   74807     270 0.00361 45.76   74671
  15   74536     321 0.00430 44.92   74376
  16   74216     371 0.00500 44.11   74030
  17   73845     400 0.00541 43.33   73645
  18   73445     462 0.00629 42.56   73214
  19   72983     469 0.00642 41.83   72749
  20   72514     502 0.00692 41.10   72263
  21   72013     575 0.00798 40.38   71725
  22   71438     595 0.00833 39.70   71140
  23   70843     563 0.00795 39.03   70561
  24   70280     534 0.00760 38.34   70013
  25   69746     529 0.00759 37.63   69481
  26   69216     555 0.00801 36.91   68939
  27   68662     543 0.00791 36.21   68390
  28   68119     567 0.00832 35.49   67836
  29   67552     533 0.00789 34.78   67286
  30   67019     567 0.00845 34.06   66736
  31   66453     558 0.00839 33.34   66174
  32   65895     596 0.00905 32.62   65597
  33   65299     588 0.00900 31.91   65005
  34   64711     586 0.00906 31.20   64417
  35   64124     617 0.00962 30.48   63816
  36   63508     625 0.00984 29.77   63195
  37   62883     632 0.01006 29.06   62567
  38   62250     635 0.01021 28.35   61933
  39   61615     639 0.01037 27.64   61296
  40   60976     674 0.01105 26.92   60639
  41   60302     649 0.01077 26.22   59978
  42   59653     735 0.01231 25.50   59286
  43   58918     706 0.01199 24.81   58565
  44   58212     669 0.01150 24.11   57877
  45   57543     754 0.01310 23.38   57166
  46   56789     771 0.01358 22.68   56403
  47   56018     796 0.01421 21.99   55620
  48   55222     807 0.01462 21.30   54818
  49   54415     807 0.01484 20.61   54011
  50   53607     887 0.01655 19.91   53164
  51   52720     816 0.01547 19.24   52312
  52   51905     946 0.01822 18.53   51432
  53   50959     952 0.01867 17.87   50483
  54   50008     950 0.01901 17.20   49532
  55   49057    1022 0.02084 16.52   48546
  56   48035    1108 0.02307 15.86   47481
  57   46927    1119 0.02384 15.22   46367
  58   45808    1197 0.02614 14.58   45209
  59   44611    1177 0.02638 13.96   44022
  60   43434    1397 0.03215 13.33   42735
  61   42037    1281 0.03047 12.75   41397
  62   40756    1440 0.03534 12.14   40036
  63   39316    1501 0.03817 11.56   38566
  64   37815    1498 0.03962 11.00   37066
  65   36317    1620 0.04459 10.44   35507
  66   34698    1710 0.04928  9.90   33843
  67   32988    1744 0.05285  9.39   32116
  68   31244    1810 0.05794  8.88   30339
  69   29434    1754 0.05958  8.40   28557
  70   27680    2018 0.07292  7.90   26671
  71   25662    1756 0.06843  7.48   24784
  72   23906    2033 0.08504  6.99   22890
  73   21873    1965 0.08982  6.60   20891
  74   19908    1913 0.09609  6.20   18952
  75   17995    1951 0.10842  5.80   17020
  76   16044    1956 0.12191  5.45   15066
  77   14089    1789 0.12699  5.14   13194
  78   12299    1709 0.13892  4.81   11445
  79   10591    1535 0.14498  4.51    9823
  80    9055    1601 0.17678  4.19    8255
